;,2025 Energy Code: Long-term System Cost (LSC) NEM3 Hourly Factors,,,,,,,,,,,,,,,
;,Source:,,E3 via CEC  ~4/5/23:  PV_Export_Factors_20221209.xlsx,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Last modified:,,05/16/23 - SAC - converted into look-up table for CBECC(-Res) rulesets,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Electricity TDV (CZ1; 30-yr PV$/kWh),Electricity TDV (CZ2; 30-yr PV$/kWh),Electricity TDV (CZ3; 30-yr PV$/kWh),Electricity TDV (CZ4; 30-yr PV$/kWh),Electricity TDV (CZ5; 30-yr PV$/kWh),Electricity TDV (CZ6; 30-yr PV$/kWh),Electricity TDV (CZ7; 30-yr PV$/kWh),Electricity TDV (CZ8; 30-yr PV$/kWh),Electricity TDV (CZ9; 30-yr PV$/kWh),Electricity TDV (CZ10; 30-yr PV$/kWh),Electricity TDV (CZ11; 30-yr PV$/kWh),Electricity TDV (CZ12; 30-yr PV$/kWh),Electricity TDV (CZ13; 30-yr PV$/kWh),Electricity TDV (CZ14; 30-yr PV$/kWh),Electricity TDV (CZ15; 30-yr PV$/kWh),Electricity TDV (CZ16; 30-yr PV$/kWh)
; MoDaHr,,,,,,,,,,,,,,,,
; CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
10401,8.126792994,8.126792994,8.126792994,8.126792994,8.126792994,7.968917577,7.968917577,7.968917577,7.968917577,7.968917577,8.126792994,8.126792994,8.126792994,7.968917577,7.968917577,7.968917577
10402,6.395313221,6.395313221,6.395313221,6.395313221,6.395313221,6.265428155,6.265428155,6.265428155,6.265428155,6.265428155,6.395313221,6.395313221,6.395313221,6.265428155,6.265428155,6.265428155
10403,4.926822894,4.926822894,4.926822894,4.926822894,4.926822894,4.83035599,4.83035599,4.83035599,4.83035599,4.83035599,4.926822894,4.926822894,4.926822894,4.83035599,4.83035599,4.83035599
10404,4.599988886,4.599988886,4.599988886,4.599988886,4.599988886,4.410210469,4.410210469,4.410210469,4.410210469,4.410210469,4.599988886,4.599988886,4.599988886,4.410210469,4.410210469,4.410210469
10405,4.512999354,4.512999354,4.512999354,4.512999354,4.512999354,4.241999852,4.241999852,4.241999852,4.241999852,4.241999852,4.512999354,4.512999354,4.512999354,4.241999852,4.241999852,4.241999852
10406,4.650360189,4.650360189,4.650360189,4.650360189,4.650360189,4.387797571,4.387797571,4.387797571,4.387797571,4.387797571,4.650360189,4.650360189,4.650360189,4.387797571,4.387797571,4.387797571
10407,6.206439095,6.206439095,6.206439095,6.206439095,6.206439095,6.047003739,6.047003739,6.047003739,6.047003739,6.047003739,6.206439095,6.206439095,6.206439095,6.047003739,6.047003739,6.047003739
10408,5.381125347,5.381125347,5.381125347,5.381125347,5.381125347,4.735264168,4.735264168,4.735264168,4.735264168,4.735264168,5.381125347,5.381125347,5.381125347,4.735264168,4.735264168,4.735264168
10409,2.856960076,2.856960076,2.856960076,2.856960076,2.856960076,1.995645281,1.995645281,1.995645281,1.995645281,1.995645281,2.856960076,2.856960076,2.856960076,1.995645281,1.995645281,1.995645281
10410,2.501748698,2.501748698,2.501748698,2.501748698,2.501748698,1.801268603,1.801268603,1.801268603,1.801268603,1.801268603,2.501748698,2.501748698,2.501748698,1.801268603,1.801268603,1.801268603
10411,2.257431399,2.257431399,2.257431399,2.257431399,2.257431399,1.78710265,1.78710265,1.78710265,1.78710265,1.78710265,2.257431399,2.257431399,2.257431399,1.78710265,1.78710265,1.78710265
10412,2.253572553,2.253572553,2.253572553,2.253572553,2.253572553,1.790100417,1.790100417,1.790100417,1.790100417,1.790100417,2.253572553,2.253572553,2.253572553,1.790100417,1.790100417,1.790100417
10413,2.247985193,2.247985193,2.247985193,2.247985193,2.247985193,1.788407351,1.788407351,1.788407351,1.788407351,1.788407351,2.247985193,2.247985193,2.247985193,1.788407351,1.788407351,1.788407351
10414,2.239455001,2.239455001,2.239455001,2.239455001,2.239455001,1.790019829,1.790019829,1.790019829,1.790019829,1.790019829,2.239455001,2.239455001,2.239455001,1.790019829,1.790019829,1.790019829
10415,2.143671796,2.143671796,2.143671796,2.143671796,2.143671796,1.786210342,1.786210342,1.786210342,1.786210342,1.786210342,2.143671796,2.143671796,2.143671796,1.786210342,1.786210342,1.786210342
10416,2.276696097,2.276696097,2.276696097,2.276696097,2.276696097,1.88795372,1.88795372,1.88795372,1.88795372,1.88795372,2.276696097,2.276696097,2.276696097,1.88795372,1.88795372,1.88795372
10417,3.029966868,3.029966868,3.029966868,3.029966868,3.029966868,3.003681178,3.003681178,3.003681178,3.003681178,3.003681178,3.029966868,3.029966868,3.029966868,3.003681178,3.003681178,3.003681178
10418,4.441211434,4.441211434,4.441211434,4.441211434,9.121503067,4.590134312,4.590134312,4.590134312,4.590134312,4.590134312,4.441211434,4.441211434,4.441211434,4.590134312,4.590134312,4.590134312
10419,13.76664897,10.55331099,17.19447438,7.743939502,15.76322253,4.559616241,4.559616241,4.559616241,4.559616241,4.559616241,4.469689956,4.720216699,4.469689956,4.559616241,4.559616241,4.559616241
10420,13.27595477,6.264272202,7.72857646,6.866668725,16.46600965,4.596475724,4.596475724,4.596475724,4.596475724,4.596475724,4.743141319,4.743141319,4.743141319,4.596475724,4.596475724,4.596475724
10421,8.419006748,4.794983579,10.2969243,4.794983579,11.89025746,4.551839607,4.551839607,4.551839607,4.551839607,4.551839607,4.794983579,4.794983579,4.794983579,4.551839607,4.551839607,4.551839607
10422,5.183235457,5.183235457,5.183235457,5.183235457,6.233571637,4.714894429,4.714894429,4.714894429,4.714894429,4.714894429,5.183235457,5.183235457,5.183235457,4.714894429,4.714894429,4.714894429
10423,4.984485991,4.984485991,4.984485991,4.984485991,4.984485991,4.578366546,4.578366546,4.578366546,4.578366546,4.578366546,4.984485991,4.984485991,4.984485991,4.578366546,4.578366546,4.578366546
10424,6.632790323,6.632790323,6.632790323,6.632790323,6.632790323,6.210566166,6.210566166,6.210566166,6.210566166,6.210566166,6.632790323,6.632790323,6.632790323,6.210566166,6.210566166,6.210566166
10501,5.099755437,5.099755437,5.099755437,5.099755437,5.099755437,4.720153634,4.720153634,4.720153634,4.720153634,4.720153634,5.099755437,5.099755437,5.099755437,4.720153634,4.720153634,4.720153634
10502,6.519707039,6.519707039,6.519707039,6.519707039,6.519707039,6.135014354,6.135014354,6.135014354,6.135014354,6.135014354,6.519707039,6.519707039,6.519707039,6.135014354,6.135014354,6.135014354
10503,4.568815605,4.568815605,4.568815605,4.568815605,4.568815605,4.154169665,4.154169665,4.154169665,4.154169665,4.154169665,4.568815605,4.568815605,4.568815605,4.154169665,4.154169665,4.154169665
10504,3.675901565,3.675901565,3.675901565,3.675901565,3.675901565,3.263319506,3.263319506,3.263319506,3.263319506,3.263319506,3.675901565,3.675901565,3.675901565,3.263319506,3.263319506,3.263319506
10505,3.697855613,3.697855613,3.697855613,3.697855613,3.697855613,3.318787449,3.318787449,3.318787449,3.318787449,3.318787449,3.697855613,3.697855613,3.697855613,3.318787449,3.318787449,3.318787449
10506,3.978894433,3.978894433,3.978894433,3.978894433,3.978894433,3.562698521,3.562698521,3.562698521,3.562698521,3.562698521,3.978894433,3.978894433,3.978894433,3.562698521,3.562698521,3.562698521
10507,4.869839576,4.869839576,4.869839576,4.869839576,4.869839576,4.431574915,4.431574915,4.431574915,4.431574915,4.431574915,4.869839576,4.869839576,4.869839576,4.431574915,4.431574915,4.431574915
