Filename,Variable name,Units,Variable reference,Index type key,Variable type key,Keyed value
Boilers.cc,"Boiler Heating Energy""",,OutputProcessor::Unit::J,this->BoilerEnergy,"""System""","""Sum"""
Boilers.cc,"""Boiler "" + this->BoilerFuelTypeForOutputVariable + "" Rate""",,OutputProcessor::Unit::W,this->FuelUsed,"""System""","""Average"""
Boilers.cc,"Boiler "" + this->BoilerFuelTypeForOutputVariable + "" Energy""",,OutputProcessor::Unit::J,this->FuelConsumed,"""System""","""Sum"""
Boilers.cc,"Boiler Inlet Temperature""",,OutputProcessor::Unit::C,this->BoilerInletTemp,"""System""","""Average"""
Boilers.cc,"Boiler Outlet Temperature""",,OutputProcessor::Unit::C,this->BoilerOutletTemp,"""System""","""Average"""
Boilers.cc,"Boiler Mass Flow Rate""",,OutputProcessor::Unit::kg_s,this->BoilerMassFlowRate,"""System""","""Average"""
Boilers.cc,"Boiler Ancillary Electricity Rate""",,OutputProcessor::Unit::W,this->ParasiticElecPower,"""System""","""Average"""
Boilers.cc,"Boiler Ancillary Electricity Energy""",,OutputProcessor::Unit::J,this->ParasiticElecConsumption,"""System""","""Sum"""
Boilers.cc,"Boiler Part Load Ratio""",,OutputProcessor::Unit::None,this->BoilerPLR,"""System""","""Average"""
Boilers.cc,"Boiler Efficiency""",,OutputProcessor::Unit::None,this->BoilerEff,"""System""","""Average"""
BoilerSteam.cc,"Boiler Heating Rate""",,OutputProcessor::Unit::W,this->BoilerLoad,"""System""","""Average"""
BoilerSteam.cc,"Boiler Heating Energy""",,OutputProcessor::Unit::J,this->BoilerEnergy,"""System""","""Sum"""
BoilerSteam.cc,"""Boiler "" + this->BoilerFuelTypeForOutputVariable + "" Rate""",,OutputProcessor::Unit::W,this->FuelUsed,"""System""","""Average"""
BoilerSteam.cc,"Boiler "" + this->BoilerFuelTypeForOutputVariable + "" Energy""",,OutputProcessor::Unit::J,this->FuelConsumed,"""System""","""Sum"""
BoilerSteam.cc,"Boiler Steam Efficiency""",,OutputProcessor::Unit::None,this->BoilerEff,"""System""","""Average"""
BoilerSteam.cc,"Boiler Steam Inlet Temperature""",,OutputProcessor::Unit::C,this->BoilerInletTemp,"""System""","""Average"""
BoilerSteam.cc,"Boiler Steam Outlet Temperature""",,OutputProcessor::Unit::C,this->BoilerOutletTemp,"""System""","""Average"""
BoilerSteam.cc,"Boiler Steam Mass Flow Rate""",,OutputProcessor::Unit::kg_s,this->BoilerMassFlowRate,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,"Cooling Panel Total Cooling Rate""",,OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple.CoolingPanel(CoolingPanelNum).Power,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,"Cooling Panel Total System Cooling Rate""",,OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple.CoolingPanel(CoolingPanelNum).TotPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,"Cooling Panel Convective Cooling Rate""",,OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple.CoolingPanel(CoolingPanelNum).ConvPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,"Cooling Panel Radiant Cooling Rate""",,OutputProcessor::Unit::W,state.dataChilledCeilingPanelSimple.CoolingPanel(CoolingPanelNum).RadPower,"""System""","""Average"""
ChilledCeilingPanelSimple.cc,"Cooling Panel Total Cooling Energy""",,OutputProcessor::Unit::J,state.dataChilledCeilingPanelSimple.CoolingPanel(CoolingPanelNum).Energy,"""System""","""Sum"""
