;,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
BaseVAVReheatCoil-2,BaseVAVBox CoilHtg-14,HotWater,BaseAirSys5-2,CorridorFlr2 Thermal Zone,7709.2,7709.2,0.38531,-99996,-99996,,,,
BaseVAVReheatCoil-13,BaseVAVBox CoilHtg-15,HotWater,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,1327.188,1327.188,0.06633,-99996,-99996,,,,
BaseVAVReheatCoil-17,BaseVAVBox CoilHtg-16,HotWater,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,740.088,740.088,0.03699,-99996,-99996,,,,
BaseVAVReheatCoil-21,BaseVAVBox CoilHtg-17,HotWater,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,1601.85,1601.85,0.08006,-99996,-99996,,,,
BaseVAVReheatCoil-25,BaseVAVBox CoilHtg-18,HotWater,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,1602.138,1602.138,0.08008,-99996,-99996,,,,
BaseVAVReheatCoil-3,BaseVAVBox CoilHtg-19,HotWater,BaseAirSys5-3,CorridorFlr3 Thermal Zone,7833.5,7833.5,0.39153,-99996,-99996,,,,
BaseVAVReheatCoil-14,BaseVAVBox CoilHtg-20,HotWater,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,1287.162,1287.162,0.06433,-99996,-99996,,,,
BaseVAVReheatCoil-18,BaseVAVBox CoilHtg-21,HotWater,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,748.863,748.863,0.03743,-99996,-99996,,,,
BaseVAVReheatCoil-22,BaseVAVBox CoilHtg-22,HotWater,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,1566.4,1566.4,0.07829,-99996,-99996,,,,
BaseVAVReheatCoil-26,BaseVAVBox CoilHtg-23,HotWater,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,1566.537,1566.537,0.0783,-99996,-99996,,,,
BaseVAVReheatCoil-4,BaseVAVBox CoilHtg-24,HotWater,BaseAirSys5-4,CorridorFlr4 Thermal Zone,12723.138,12723.138,0.63592,-99996,-99996,,,,
BaseVAVReheatCoil-15,BaseVAVBox CoilHtg-25,HotWater,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,1703.175,1703.175,0.08513,-99996,-99996,,,,
BaseVAVReheatCoil-19,BaseVAVBox CoilHtg-26,HotWater,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,1139.55,1139.55,0.05696,-99996,-99996,,,,
BaseVAVReheatCoil-23,BaseVAVBox CoilHtg-27,HotWater,BaseAirSys5-4,RearStairsFlr4 Thermal Zone,2193.662,2193.662,0.10964,-99996,-99996,,,,
BaseVAVReheatCoil-27,BaseVAVBox CoilHtg-28,HotWater,BaseAirSys5-4,RearStorageFlr4 Thermal Zone,2193.3,2193.3,0.10962,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE HotSmlCECStd19070012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
