;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,2007058E,Chromagen Israel Ltd,Chromagen,CR-140-BC,3.71,0.68,-4.348,,,,,
,2007059E,Chromagen Israel Ltd,Chromagen,CR-140-P,3.71,0.668,-5.168,,,,,
,2007057E,Chromagen Israel Ltd,Chromagen,CR-140-SP,3.71,0.699,-4.54,,,,,
,10002196B,Commercial Energy Savings Plus,CESP,SLR-BX-02C15.75,0.196,0.392,-6.995,; added RJH 11/13/24,,,,
,10002196C,Commercial Energy Savings Plus,CESP,SLR-BX-02C31.50,0.325,0.483,-8.503,; added RJH 11/13/24,,,,
,10002196D,Commercial Energy Savings Plus,CESP,SLR-BX-03C31.50,0.492,0.489,-8.372,; added RJH 11/13/24,,,,
,10002196A,Commercial Energy Savings Plus,CESP,SLR-BX-04C31.50,0.653,0.491,-8.502,; added RJH 11/13/24,,,,
,10002196E,Commercial Energy Savings Plus,CESP,SLR-BX-05C37.50,0.904,0.538,-9.141,; added RJH 11/13/24,,,,
,10002196F,Commercial Energy Savings Plus,CESP,SLR-BX-05C50.00,1.159,0.562,-9.504,; added RJH 11/13/24,,,,
,10002196G,Commercial Energy Savings Plus,CESP,SLR-BX-05C75.00,1.69,0.607,-10.22,; added RJH 11/13/24,,,,
