,,2013,2015,NoCooling        ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,NoCooling - No cooling equipment                                    ,,,,,
,,2013,2015,SplitAirCond     ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2013,2015,PkgAirCond       ,14,Warning6,Warning6,11,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2013,2015,LrgPkgAirCond    ,13,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,0,0,0,0,-1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2013,2015,SDHVSplitAirCond,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,,,,
,,2013,2015,DuctlessMiniSplitAirCond,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,,,,
,,2013,2015,DuctlessMultiSplitAirCond,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,,,,
,,2013,2015,DuctlessVRFAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,,,,
,,2013,2015,RoomAirCond      ,Warning1,Warning6,Warning6,8.5,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,0,1,0,0,-1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2013,2015,SplitHeatPump    ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2013,2015,PkgHeatPump      ,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2013,2015,LrgPkgHeatPump   ,Warning1,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,0,0,0,-1,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2013,2015,GasCooling       ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,0,0,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,GasCooling - Gas absorption cooling                                 ,,,,,
,,2013,2015,SDHVSplitHeatPump,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,,,,
,,2013,2015,DuctlessMiniSplitHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,,,,
,,2013,2015,DuctlessMultiSplitHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,,,,
