; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV RESOLVE GHG Only,,,,,,,,,,,,,,,,
; MoDaHr,Natural Gas TDV (CZ1; kBtu/therm),Natural Gas TDV (CZ2; kBtu/therm),Natural Gas TDV (CZ3; kBtu/therm),Natural Gas TDV (CZ4; kBtu/therm),Natural Gas TDV (CZ5; kBtu/therm),Natural Gas TDV (CZ6; kBtu/therm),Natural Gas TDV (CZ7; kBtu/therm),Natural Gas TDV (CZ8; kBtu/therm),Natural Gas TDV (CZ9; kBtu/therm),Natural Gas TDV (CZ10; kBtu/therm),Natural Gas TDV (CZ11; kBtu/therm),Natural Gas TDV (CZ12; kBtu/therm),Natural Gas TDV (CZ13; kBtu/therm),Natural Gas TDV (CZ14; kBtu/therm),Natural Gas TDV (CZ15; kBtu/therm),Natural Gas TDV (CZ16; kBtu/therm)
10410,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10411,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10412,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10413,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10414,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10415,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10416,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10417,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10418,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10419,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10420,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10421,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10422,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10423,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10424,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10501,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10502,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10503,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10504,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10505,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10506,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10507,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10508,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10509,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10510,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10511,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10512,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10513,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10514,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10515,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10516,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10517,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10518,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10519,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10520,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10521,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
10522,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569,119.8250569
