; Use with 2009 calendar year and updated CEC weather data,,,,,,,,,,,,,,,,
; Version ID: 2019 TDV Interim GHG Adder Only,,,,,,,,,,,,,,,,
; MoDaHr,Electricity TDV (CZ1; kBtu/kWh),Electricity TDV (CZ2; kBtu/kWh),Electricity TDV (CZ3; kBtu/kWh),Electricity TDV (CZ4; kBtu/kWh),Electricity TDV (CZ5; kBtu/kWh),Electricity TDV (CZ6; kBtu/kWh),Electricity TDV (CZ7; kBtu/kWh),Electricity TDV (CZ8; kBtu/kWh),Electricity TDV (CZ9; kBtu/kWh),Electricity TDV (CZ10; kBtu/kWh),Electricity TDV (CZ11; kBtu/kWh),Electricity TDV (CZ12; kBtu/kWh),Electricity TDV (CZ13; kBtu/kWh),Electricity TDV (CZ14; kBtu/kWh),Electricity TDV (CZ15; kBtu/kWh),Electricity TDV (CZ16; kBtu/kWh)
10401,1.340467661,1.340467661,1.340467661,1.340467661,1.340467661,1.319704163,1.319704163,1.319704163,1.319704163,1.319704163,1.340467661,1.340467661,1.340467661,1.319704163,1.319704163,1.319704163
10402,1.220179829,1.220179829,1.220179829,1.220179829,1.220179829,1.111771928,1.111771928,1.111771928,1.111771928,1.111771928,1.220179829,1.220179829,1.220179829,1.111771928,1.111771928,1.111771928
10403,1.204048707,1.204048707,1.204048707,1.204048707,1.204048707,1.095179871,1.095179871,1.095179871,1.095179871,1.095179871,1.204048707,1.204048707,1.204048707,1.095179871,1.095179871,1.095179871
10404,1.201454586,1.201454586,1.201454586,1.201454586,1.201454586,1.093349917,1.093349917,1.093349917,1.093349917,1.093349917,1.201454586,1.201454586,1.201454586,1.093349917,1.093349917,1.093349917
10405,1.236939286,1.236939286,1.236939286,1.236939286,1.236939286,1.129041363,1.129041363,1.129041363,1.129041363,1.129041363,1.236939286,1.236939286,1.236939286,1.129041363,1.129041363,1.129041363
10406,1.363496637,1.363496637,1.363496637,1.363496637,1.363496637,1.25323369,1.25323369,1.25323369,1.25323369,1.25323369,1.363496637,1.363496637,1.363496637,1.25323369,1.25323369,1.25323369
10407,1.431527311,1.431527311,1.431527311,1.431527311,1.431527311,1.421941654,1.421941654,1.421941654,1.421941654,1.421941654,1.431527311,1.431527311,1.431527311,1.421941654,1.421941654,1.421941654
10408,1.439369795,1.439369795,1.439369795,1.439369795,1.439369795,1.429150835,1.429150835,1.429150835,1.429150835,1.429150835,1.439369795,1.439369795,1.439369795,1.429150835,1.429150835,1.429150835
10409,1.366803791,1.366803791,1.366803791,1.366803791,1.366803791,1.26276071,1.26276071,1.26276071,1.26276071,1.26276071,1.366803791,1.366803791,1.366803791,1.26276071,1.26276071,1.26276071
10410,1.200143515,1.200143515,1.200143515,1.200143515,1.200143515,1.114291035,1.114291035,1.114291035,1.114291035,1.114291035,1.200143515,1.200143515,1.200143515,1.114291035,1.114291035,1.114291035
10411,1.159531046,1.159531046,1.159531046,1.159531046,1.159531046,0.326768852,0.326768852,0.326768852,0.326768852,0.326768852,1.159531046,1.159531046,1.159531046,0.326768852,0.326768852,0.326768852
10412,1.165648274,1.165648274,1.165648274,1.165648274,1.165648274,0.324825969,0.324825969,0.324825969,0.324825969,0.324825969,1.165648274,1.165648274,1.165648274,0.324825969,0.324825969,0.324825969
10413,1.165035377,1.165035377,1.165035377,1.165035377,1.165035377,0.325904498,0.325904498,0.325904498,0.325904498,0.325904498,1.165035377,1.165035377,1.165035377,0.325904498,0.325904498,0.325904498
10414,0.400164695,0.400164695,0.400164695,0.400164695,0.400164695,0.238229586,0.238229586,0.238229586,0.238229586,0.238229586,0.400164695,0.400164695,0.400164695,0.238229586,0.238229586,0.238229586
10415,1.148215928,1.148215928,1.148215928,1.148215928,1.148215928,0.24232711,0.24232711,0.24232711,0.24232711,0.24232711,1.148215928,1.148215928,1.148215928,0.24232711,0.24232711,0.24232711
10416,1.325082768,1.325082768,1.325082768,1.325082768,1.325082768,1.21593377,1.21593377,1.21593377,1.21593377,1.21593377,1.325082768,1.325082768,1.325082768,1.21593377,1.21593377,1.21593377
10417,1.448267602,1.448267602,1.448267602,1.448267602,1.448267602,1.454873262,1.454873262,1.454873262,1.454873262,1.454873262,1.448267602,1.448267602,1.448267602,1.454873262,1.454873262,1.454873262
10418,1.451870217,1.451870217,1.451870217,1.451870217,1.451870217,1.471349913,1.471349913,1.471349913,1.471349913,1.471349913,1.451870217,1.451870217,1.451870217,1.471349913,1.471349913,1.471349913
10419,1.452016557,1.452016557,1.452016557,1.452016557,1.452016557,1.474802245,1.474802245,1.474802245,1.474802245,1.474802245,1.452016557,1.452016557,1.452016557,1.474802245,1.474802245,1.474802245
10420,1.45201228,1.45201228,1.45201228,1.45201228,1.45201228,1.475541882,1.475541882,1.475541882,1.475541882,1.475541882,1.45201228,1.45201228,1.45201228,1.475541882,1.475541882,1.475541882
10421,1.452170126,1.452170126,1.452170126,1.452170126,1.452170126,1.47491171,1.47491171,1.47491171,1.47491171,1.47491171,1.452170126,1.452170126,1.452170126,1.47491171,1.47491171,1.47491171
10422,1.452346637,1.452346637,1.452346637,1.452346637,1.452346637,1.468543419,1.468543419,1.468543419,1.468543419,1.468543419,1.452346637,1.452346637,1.452346637,1.468543419,1.468543419,1.468543419
10423,1.447034569,1.447034569,1.447034569,1.447034569,1.447034569,1.455522025,1.455522025,1.455522025,1.455522025,1.455522025,1.447034569,1.447034569,1.447034569,1.455522025,1.455522025,1.455522025
10424,1.421485973,1.421485973,1.421485973,1.421485973,1.421485973,1.422515421,1.422515421,1.422515421,1.422515421,1.422515421,1.421485973,1.421485973,1.421485973,1.422515421,1.422515421,1.422515421
10501,1.325307626,1.325307626,1.325307626,1.325307626,1.325307626,1.323945219,1.323945219,1.323945219,1.323945219,1.323945219,1.325307626,1.325307626,1.325307626,1.323945219,1.323945219,1.323945219
10502,1.323561281,1.323561281,1.323561281,1.323561281,1.323561281,1.302244575,1.302244575,1.302244575,1.302244575,1.302244575,1.323561281,1.323561281,1.323561281,1.302244575,1.302244575,1.302244575
10503,1.32239655,1.32239655,1.32239655,1.32239655,1.32239655,1.296457272,1.296457272,1.296457272,1.296457272,1.296457272,1.32239655,1.32239655,1.32239655,1.296457272,1.296457272,1.296457272
10504,1.32278054,1.32278054,1.32278054,1.32278054,1.32278054,1.300505638,1.300505638,1.300505638,1.300505638,1.300505638,1.32278054,1.32278054,1.32278054,1.300505638,1.300505638,1.300505638
10505,1.32492753,1.32492753,1.32492753,1.32492753,1.32492753,1.322799337,1.322799337,1.322799337,1.322799337,1.322799337,1.32492753,1.32492753,1.32492753,1.322799337,1.322799337,1.322799337
10506,1.326745875,1.326745875,1.326745875,1.326745875,1.326745875,1.329856527,1.329856527,1.329856527,1.329856527,1.329856527,1.326745875,1.326745875,1.326745875,1.329856527,1.329856527,1.329856527
10507,1.327658665,1.327658665,1.327658665,1.327658665,1.327658665,1.337510092,1.337510092,1.337510092,1.337510092,1.337510092,1.327658665,1.327658665,1.327658665,1.337510092,1.337510092,1.337510092
10508,1.32915271,1.32915271,1.32915271,1.32915271,1.32915271,1.343665635,1.343665635,1.343665635,1.343665635,1.343665635,1.32915271,1.32915271,1.32915271,1.343665635,1.343665635,1.343665635
10509,1.325411396,1.325411396,1.325411396,1.325411396,1.325411396,1.313101753,1.313101753,1.313101753,1.313101753,1.313101753,1.325411396,1.325411396,1.325411396,1.313101753,1.313101753,1.313101753
10510,1.275863517,1.275863517,1.275863517,1.275863517,1.275863517,0.423927919,0.423927919,0.423927919,0.423927919,0.423927919,1.275863517,1.275863517,1.275863517,0.423927919,0.423927919,0.423927919
10511,1.208931733,1.208931733,1.208931733,1.208931733,1.208931733,0.424373566,0.424373566,0.424373566,0.424373566,0.424373566,1.208931733,1.208931733,1.208931733,0.424373566,0.424373566,0.424373566
10512,1.205439524,1.205439524,1.205439524,1.205439524,1.205439524,0.419759684,0.419759684,0.419759684,0.419759684,0.419759684,1.205439524,1.205439524,1.205439524,0.419759684,0.419759684,0.419759684
10513,1.203145215,1.203145215,1.203145215,1.203145215,1.203145215,0.338245669,0.338245669,0.338245669,0.338245669,0.338245669,1.203145215,1.203145215,1.203145215,0.338245669,0.338245669,0.338245669
10514,1.205183234,1.205183234,1.205183234,1.205183234,1.205183234,0.420267901,0.420267901,0.420267901,0.420267901,0.420267901,1.205183234,1.205183234,1.205183234,0.420267901,0.420267901,0.420267901
10515,1.208663412,1.208663412,1.208663412,1.208663412,1.208663412,0.424289373,0.424289373,0.424289373,0.424289373,0.424289373,1.208663412,1.208663412,1.208663412,0.424289373,0.424289373,0.424289373
10516,1.325517257,1.325517257,1.325517257,1.325517257,1.325517257,1.311733926,1.311733926,1.311733926,1.311733926,1.311733926,1.325517257,1.325517257,1.325517257,1.311733926,1.311733926,1.311733926
10517,1.337826927,1.337826927,1.337826927,1.337826927,1.337826927,1.348279338,1.348279338,1.348279338,1.348279338,1.348279338,1.337826927,1.337826927,1.337826927,1.348279338,1.348279338,1.348279338
10518,1.360898828,1.360898828,1.360898828,1.360898828,1.360898828,1.411336764,1.411336764,1.411336764,1.411336764,1.411336764,1.360898828,1.360898828,1.360898828,1.411336764,1.411336764,1.411336764
10519,1.361056291,1.361056291,1.361056291,1.361056291,1.361056291,1.521781725,1.521781725,1.521781725,1.521781725,1.521781725,1.361056291,1.361056291,1.361056291,1.521781725,1.521781725,1.521781725
10520,1.361017866,1.361017866,1.361017866,1.361017866,1.361017866,1.529718461,1.529718461,1.529718461,1.529718461,1.529718461,1.361017866,1.361017866,1.361017866,1.529718461,1.529718461,1.529718461
10521,1.361157297,1.361157297,1.361157297,1.361157297,1.361157297,1.510043955,1.510043955,1.510043955,1.510043955,1.510043955,1.361157297,1.361157297,1.361157297,1.510043955,1.510043955,1.510043955
