TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
GuestRoom209_212_FPFC CoilHtg,BaseSys2 CoilHtg-9,HotWater,BaseZnSys2-9,UNDEFINED,3949.762,3949.762,0.19741,-99996,-99996,,,
GuestRoom213_FPFC CoilHtg,BaseSys2 CoilHtg-10,HotWater,BaseZnSys2-10,UNDEFINED,4512.025,4512.025,0.22552,-99996,-99996,,,
GuestRoom214_FPFC CoilHtg,BaseSys2 CoilHtg-11,HotWater,BaseZnSys2-11,UNDEFINED,4507.238,4507.238,0.22528,-99996,-99996,,,
GuestRoom215_218_FPFC CoilHtg,BaseSys2 CoilHtg-12,HotWater,BaseZnSys2-12,UNDEFINED,3920.294,3920.294,0.19594,-99996,-99996,,,
GuestRoom219_FPFC CoilHtg,BaseSys2 CoilHtg-13,HotWater,BaseZnSys2-13,UNDEFINED,4300.337,4300.337,0.21494,-99996,-99996,,,
GuestRoom220_223_FPFC CoilHtg,BaseSys2 CoilHtg-14,HotWater,BaseZnSys2-14,UNDEFINED,3836.888,3836.888,0.19177,-99996,-99996,,,
GuestRoom224_FPFC CoilHtg,BaseSys2 CoilHtg-15,HotWater,BaseZnSys2-15,UNDEFINED,4234.525,4234.525,0.21165,-99996,-99996,,,
GuestRoom301_FPFC CoilHtg,BaseSys2 CoilHtg-16,HotWater,BaseZnSys2-16,UNDEFINED,5550,5550,0.27739,-99996,-99996,,,
GuestRoom302_305_FPFC CoilHtg,BaseSys2 CoilHtg-17,HotWater,BaseZnSys2-17,UNDEFINED,4136.794,4136.794,0.20676,-99996,-99996,,,
GuestRoom306_308_FPFC CoilHtg,BaseSys2 CoilHtg-18,HotWater,BaseZnSys2-18,UNDEFINED,4396.658,4396.658,0.21975,-99996,-99996,,,
GuestRoom309_312_FPFC CoilHtg,BaseSys2 CoilHtg-19,HotWater,BaseZnSys2-19,UNDEFINED,4111.059,4111.059,0.20547,-99996,-99996,,,
GuestRoom313_FPFC CoilHtg,BaseSys2 CoilHtg-20,HotWater,BaseZnSys2-20,UNDEFINED,4591.95,4591.95,0.22951,-99996,-99996,,,
