; Tables for Std model AutoHardSize capacity look-up rules,,,,,,,,,,,,,
TABLE HighRiseRes10StoryCECStd220110012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
PropVentOnlyAirSys RetFan-3,PropVentOnlyAirSys RetFan-3,ConstantVolume,PropVentOnlyAirSys-3,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-4,PropVentOnlyAirSys RetFan-4,ConstantVolume,PropVentOnlyAirSys-4,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-5,PropVentOnlyAirSys RetFan-5,ConstantVolume,PropVentOnlyAirSys-5,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-6,PropVentOnlyAirSys RetFan-6,ConstantVolume,PropVentOnlyAirSys-6,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-7,PropVentOnlyAirSys RetFan-7,ConstantVolume,PropVentOnlyAirSys-7,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-8,PropVentOnlyAirSys RetFan-8,ConstantVolume,PropVentOnlyAirSys-8,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-9,PropVentOnlyAirSys RetFan-9,ConstantVolume,PropVentOnlyAirSys-9,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-10,PropVentOnlyAirSys RetFan-10,ConstantVolume,PropVentOnlyAirSys-10,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-11,PropVentOnlyAirSys RetFan-11,ConstantVolume,PropVentOnlyAirSys-11,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-12,PropVentOnlyAirSys RetFan-12,ConstantVolume,PropVentOnlyAirSys-12,UNDEFINED,38.4,-99996,0.65,PowerPerUnitFlow,1.655,0.015,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-13,PropVentOnlyAirSys RetFan-13,ConstantVolume,PropVentOnlyAirSys-13,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-14,PropVentOnlyAirSys RetFan-14,ConstantVolume,PropVentOnlyAirSys-14,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-15,PropVentOnlyAirSys RetFan-15,ConstantVolume,PropVentOnlyAirSys-15,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-16,PropVentOnlyAirSys RetFan-16,ConstantVolume,PropVentOnlyAirSys-16,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-17,PropVentOnlyAirSys RetFan-17,ConstantVolume,PropVentOnlyAirSys-17,UNDEFINED,54.9,-99996,0.65,PowerPerUnitFlow,1.655,0.022,-99996,InAirStream,0.855
PropVentOnlyAirSys RetFan-18,PropVentOnlyAirSys RetFan-18,ConstantVolume,PropVentOnlyAirSys-18,UNDEFINED,31.2,-99996,0.65,PowerPerUnitFlow,1.655,0.013,-99996,InAirStream,0.855
PropSys6 Fan,BaseSys6 Fan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,9557.23,3261.319,0.65,BrakeHorsePower,5.362,12.424,15,InAirStream,0.924
PropSys6 Fan-2,BaseSys6 Fan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,576.303,206.995,0.65,BrakeHorsePower,5.362,0.749,0.75,InAirStream,0.855
PropSys6 Fan-3,BaseSys6 Fan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,642.25,208.33,0.65,BrakeHorsePower,5.362,0.835,1,InAirStream,0.855
Fan 16,BaseSys1 Fan,ConstantVolume,BaseZnSys1,Thermal Zone: F2-9 1-Bed N,265.039,-99996,0.5,BrakeHorsePower,1.637,0.137,0.25,InAirStream,0.855
Fan 17,BaseSys1 Fan-2,ConstantVolume,BaseZnSys1-2,Thermal Zone: F2-9 1-Bed SE,417.007,-99996,0.5,BrakeHorsePower,1.637,0.215,0.25,InAirStream,0.855
Fan 18,BaseSys1 Fan-3,ConstantVolume,BaseZnSys1-3,Thermal Zone: F2-9 1-Bed SW,410.697,-99996,0.5,BrakeHorsePower,1.637,0.212,0.25,InAirStream,0.855
Fan 19,BaseSys1 Fan-4,ConstantVolume,BaseZnSys1-4,Thermal Zone: F2-9 2-Bed N Core,338.178,-99996,0.5,BrakeHorsePower,1.637,0.175,0.25,InAirStream,0.855
Fan 20,BaseSys1 Fan-5,ConstantVolume,BaseZnSys1-5,Thermal Zone: F2-9 2-Bed NE,507.956,-99996,0.5,BrakeHorsePower,1.637,0.262,0.5,InAirStream,0.855
