,,2006,2007,WallFurnaceFan,75,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,WallFurnaceFan - Ductless fan forced wall furnace,,
,,2006,2007,WallFurnaceGravity,65,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,WallFurnaceGravity - Ductless gravity flowed wall furnace,,
,,2006,2007,FloorFurnace,57,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,FloorFurnace - Ductless floor heating system,,
,,2006,2007,RoomHeater,61,Warning2,Warning4,Warning4,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,0,-1,;,Heater - Non-central fuel-fired space heater                      ,,
,,2006,2007,Boiler         ,80,Warning2,Warning4,Warning4,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,0,-1,;,Boiler - Gas or oil boiler                                        ,,
,,2006,2007,WoodHeat,Warning1,Warning2,Warning4,Warning4,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,0,-1,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2006,2007,SplitHeatPump  ,Warning1,7.7,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2006,2007,SDHVSplitHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,0,-1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2006,2007,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2006,2007,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,Warning4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,0,-1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
